Date,Asset,Amount,Price per unit (EUR),Value (EUR),Transaction Type,Label
2023-01-04 01:00,DOT,0.00,4.38,0.01,Receive,Reward
2023-01-04 01:00,SHIB,38.38,0.00,0.00,Receive,Reward
2023-01-04 01:00,LTC,0.00,71.40,0.00,Receive,Reward
2023-01-04 01:00,AXS,0.00,6.30,0.01,Receive,Reward
2023-01-04 01:00,DOT,0.00,4.38,0.01,Receive,Reward
2023-01-04 01:00,ADA,0.09,0.25,0.02,Receive,Reward
2023-01-04 01:00,BNB,0.00,245.17,0.01,Receive,Reward
2023-01-04 01:00,MATIC,0.00,0.76,0.00,Receive,Reward
2023-01-04 01:00,ADA,0.12,0.25,0.03,Receive,Reward
2023-01-04 01:00,SOL,0.00,12.73,0.01,Receive,Reward
2023-01-04 01:00,USDT,0.05,0.95,0.05,Receive,Reward
2023-01-04 01:00,ADA,0.00,0.25,0.00,Receive,Reward
2023-01-04 01:00,ETH,0.00,1190.27,0.00,Receive,Reward
2023-01-04 01:00,ADA,0.02,0.25,0.00,Receive,Reward
2023-01-04 01:00,GAL,0.00,0.00,0.00,Receive,Reward
2023-01-04 01:00,SHIB,0.88,0.00,0.00,Receive,Reward
2023-01-04 01:00,AVAX,0.00,11.43,0.00,Receive,Reward
2023-01-04 01:00,DOT,0.01,4.38,0.04,Receive,Reward
2023-01-04 01:00,DOGE,0.04,0.07,0.00,Receive,Reward
2023-01-04 01:00,SOL,0.00,12.73,0.01,Receive,Reward
2023-01-04 01:00,BNB,0.00,245.18,0.01,Receive,Reward
2023-01-04 01:00,AXS,0.04,6.30,0.24,Receive,Reward
2023-01-04 01:00,MATIC,0.00,0.75,0.00,Receive,Reward
2023-01-04 01:00,MATIC,0.01,0.76,0.01,Receive,Reward
2023-01-04 01:00,SOL,0.01,12.73,0.07,Receive,Reward
2023-01-04 01:00,SAND,0.00,0.41,0.00,Receive,Reward
2023-01-04 01:00,ALGO,0.00,0.18,0.00,Receive,Reward
2023-01-04 01:00,BUSD,0.13,0.95,0.13,Receive,Reward
2023-01-04 01:00,DOT,0.01,4.38,0.03,Receive,Reward
2023-01-04 01:00,AXS,0.00,6.30,0.02,Receive,Reward
2023-01-04 01:00,XRP,0.01,0.33,0.00,Receive,Reward
2023-01-04 01:00,ADA,0.00,0.00,0.00,Receive,Reward
2023-01-04 01:00,AAVE,0.00,53.72,0.00,Receive,Reward
2023-01-04 01:00,ADA,0.25,0.25,0.06,Receive,Reward
2023-01-04 01:00,DOT,0.00,4.37,0.00,Receive,Reward
2023-01-04 01:00,BNB,0.00,245.21,0.00,Receive,Reward
2023-01-04 01:00,BTC,0.00,15951.68,0.02,Receive,Reward
2023-01-04 07:01,BNB,0.00,245.17,1.10,Receive,Reward
2023-01-04 09:00,BETH,0.00,1148.37,0.06,Receive,Reward
2023-01-05 01:00,ADA,0.12,0.25,0.03,Receive,Reward
2023-01-05 01:00,ADA,0.00,0.25,0.00,Receive,Reward
2023-01-05 01:00,SHIB,38.38,0.00,0.00,Receive,Reward
2023-01-05 01:00,ALGO,0.00,0.17,0.00,Receive,Reward
2023-01-05 01:00,ADA,0.25,0.25,0.06,Receive,Reward
2023-01-05 01:00,ADA,0.00,0.00,0.00,Receive,Reward
2023-01-05 01:00,BNB,0.00,241.39,0.01,Receive,Reward
2023-01-05 01:00,DOGE,0.04,0.07,0.00,Receive,Reward
2023-01-05 01:00,AAVE,0.00,52.19,0.00,Receive,Reward
2023-01-05 01:00,ADA,0.02,0.25,0.00,Receive,Reward
2023-01-05 01:00,ADA,0.09,0.25,0.02,Receive,Reward
2023-01-05 01:00,DOT,0.00,4.34,0.00,Receive,Reward
2023-01-05 01:00,GAL,0.00,0.00,0.00,Receive,Reward
2023-01-05 01:00,LTC,0.00,69.73,0.00,Receive,Reward
2023-01-05 01:00,AXS,0.04,6.37,0.25,Receive,Reward
2023-01-05 01:00,SOL,0.00,12.64,0.01,Receive,Reward
2023-01-05 01:00,USDT,0.05,0.94,0.05,Receive,Reward
2023-01-05 01:00,DOT,0.00,4.34,0.01,Receive,Reward
2023-01-05 01:00,SAND,0.00,0.40,0.00,Receive,Reward
2023-01-05 01:00,BNB,0.00,241.32,0.00,Receive,Reward
2023-01-05 01:00,AVAX,0.00,11.05,0.00,Receive,Reward
2023-01-05 01:00,ETH,0.00,1176.66,0.00,Receive,Reward
2023-01-05 01:00,DOT,0.00,4.34,0.01,Receive,Reward
2023-01-05 01:00,XRP,0.01,0.32,0.00,Receive,Reward
2023-01-05 01:00,MATIC,0.00,0.75,0.00,Receive,Reward
2023-01-05 01:00,BTC,0.00,15827.64,0.02,Receive,Reward
2023-01-05 01:00,MATIC,0.00,0.74,0.00,Receive,Reward
2023-01-05 01:00,SOL,0.01,12.64,0.07,Receive,Reward
2023-01-05 01:00,BUSD,0.13,0.94,0.13,Receive,Reward
2023-01-05 01:00,MATIC,0.01,0.74,0.01,Receive,Reward
2023-01-05 01:00,SOL,0.00,12.64,0.01,Receive,Reward
2023-01-05 01:00,AXS,0.00,6.37,0.01,Receive,Reward
2023-01-05 01:00,DOT,0.01,4.34,0.03,Receive,Reward
2023-01-05 01:00,DOT,0.01,4.34,0.04,Receive,Reward
2023-01-05 01:00,BNB,0.00,241.40,0.01,Receive,Reward
2023-01-05 01:00,AXS,0.00,6.37,0.02,Receive,Reward
2023-01-05 01:00,SHIB,0.88,0.00,0.00,Receive,Reward
2023-01-05 09:00,BETH,0.00,1133.12,0.06,Receive,Reward
2023-01-06 01:00,ADA,0.25,0.26,0.07,Receive,Reward
2023-01-06 01:00,DOT,0.01,4.45,0.04,Receive,Reward
2023-01-06 01:00,DOT,0.01,4.45,0.03,Receive,Reward
2023-01-06 01:00,ADA,0.00,0.00,0.00,Receive,Reward
2023-01-06 01:00,SAND,0.00,0.41,0.00,Receive,Reward
2023-01-06 01:00,DOT,0.00,4.45,0.01,Receive,Reward
2023-01-06 01:00,DOGE,0.04,0.07,0.00,Receive,Reward
2023-01-06 01:00,SOL,0.01,12.83,0.07,Receive,Reward
2023-01-06 01:00,AAVE,0.00,53.54,0.00,Receive,Reward
2023-01-06 01:00,SHIB,0.88,0.00,0.00,Receive,Reward
2023-01-06 01:00,GAL,0.00,0.00,0.00,Receive,Reward
2023-01-06 01:00,ETH,0.00,1205.46,0.00,Receive,Reward
2023-01-06 01:00,MATIC,0.00,0.76,0.00,Receive,Reward
